<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
MOEX.SBER:SMAL,60,11/05/22,13:00:00,123.9900000,123.9900000,123.9900000,123.9900000,10
MOEX.SBER:SMAL,60,11/05/22,15:00:00,124.9900000,124.9900000,124.9900000,124.9900000,1
MOEX.SBER:SMAL,60,11/05/22,16:00:00,123.8100000,123.8100000,123.4500000,123.4500000,10
MOEX.SBER:SMAL,60,11/05/22,17:00:00,123.1500000,123.1500000,123.0100000,123.0100000,4
MOEX.SBER:SMAL,60,11/05/22,18:00:00,123.1700000,123.9900000,123.1700000,123.9900000,13
MOEX.SBER:SMAL,60,11/05/22,19:00:00,123.9000000,123.9900000,123.9000000,123.9900000,14
MOEX.SBER:SMAL,60,12/05/22,11:00:00,125.7100000,125.7100000,122.1000000,122.1000000,3
MOEX.SBER:SMAL,60,12/05/22,12:00:00,123.0000000,123.0000000,123.0000000,123.0000000,2
MOEX.SBER:SMAL,60,12/05/22,14:00:00,121.9700000,121.9700000,121.9700000,121.9700000,7
MOEX.SBER:SMAL,60,12/05/22,16:00:00,122.9900000,122.9900000,122.9900000,122.9900000,2
MOEX.SBER:SMAL,60,12/05/22,17:00:00,121.9600000,121.9600000,121.3600000,121.3600000,6
MOEX.SBER:SMAL,60,12/05/22,19:00:00,121.0000000,121.0000000,119.6300000,119.6300000,4
MOEX.SBER:SMAL,60,13/05/22,12:00:00,124.9700000,124.9800000,119.2400000,119.2400000,4
MOEX.SBER:SMAL,60,13/05/22,13:00:00,119.6900000,121.3000000,118.8800000,121.3000000,6
MOEX.SBER:SMAL,60,13/05/22,15:00:00,121.9700000,121.9700000,121.9700000,121.9700000,9
MOEX.SBER:SMAL,60,13/05/22,18:00:00,121.9700000,121.9700000,121.9700000,121.9700000,2
MOEX.SBER:SMAL,60,13/05/22,19:00:00,119.9100000,119.9100000,119.9100000,119.9100000,2
MOEX.SBER:SMAL,60,16/05/22,13:00:00,123.0000000,123.0000000,121.0000000,121.0000000,3
MOEX.SBER:SMAL,60,16/05/22,14:00:00,123.9600000,123.9600000,123.9600000,123.9600000,1
MOEX.SBER:SMAL,60,16/05/22,15:00:00,121.0600000,121.0600000,121.0600000,121.0600000,4
MOEX.SBER:SMAL,60,16/05/22,17:00:00,122.3100000,123.5500000,122.3100000,123.5500000,14
MOEX.SBER:SMAL,60,16/05/22,18:00:00,123.0000000,123.0000000,123.0000000,123.0000000,6
MOEX.SBER:SMAL,60,17/05/22,12:00:00,124.5100000,124.5100000,124.5100000,124.5100000,1
MOEX.SBER:SMAL,60,17/05/22,13:00:00,126.0000000,126.0000000,126.0000000,126.0000000,3
MOEX.SBER:SMAL,60,17/05/22,14:00:00,125.9600000,126.0000000,124.8300000,124.8300000,11
MOEX.SBER:SMAL,60,17/05/22,15:00:00,125.0100000,125.0100000,125.0100000,125.0100000,1
MOEX.SBER:SMAL,60,17/05/22,16:00:00,126.0000000,126.0000000,126.0000000,126.0000000,2
MOEX.SBER:SMAL,60,17/05/22,17:00:00,126.0000000,126.9100000,126.0000000,126.9100000,16
